"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4405","M-HOME-307 tile targets correct category URLs","mobile","2026-08-14","passed","2026-08-14","Mobile category tiles (M-HOME-301–309)","mobile/home.spec.ts","",""
"","3089","M-CARD-106 star rating and review count are present","mobile","2026-08-14","passed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","4608","M-GLB-124 expansion is accordion (in-place), not drill-down","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","4581","HOME-107 all slide CTAs href contains /category/root","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","4158","GLB-103 Women flyout opens on hover; aria-expanded reflects open state","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","1595","HOME-401 two ""EXPLORE COLLECTION"" CTAs are present (one per banner)","desktop","2026-08-14","passed","2026-08-14","Home – Collection banners (HOME-401–406)","desktop/home.spec.ts","",""
"","5099","M-GLB-121 panel opens beneath the header in page flow (not full-screen or side drawer)","mobile","2026-08-14","passed","2026-08-14","Mobile nav menu (M-GLB-121–131)","mobile/home.spec.ts","",""
"","1879","M-HOME-101 carousel region is labelled ""Hero carousel with 4 slides"" for AT","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","117","M-QA-106 newly created guest basket contains zero product items","api","2026-08-14","passed","2026-08-14","Basket integrity – M-QA-106","api/basket.spec.ts","",""
"","3","CARD-103/M-CARD-103 primary category is present","api","2026-08-14","passed","2026-08-14","Product card API fields","api/products.spec.ts","",""
"","1260","GLB-108 Sign In links to /MarketStreet/en-US/login","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","3204","M-GLB-104 utility controls are: Find a Store, Sign In, Wishlist, Mini cart, Menu","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","1435","HOME-306/M-HOME-307 Women, Men, Kids, New Arrivals categories all exist","api","2026-08-14","passed","2026-08-14","","api/categories.spec.ts","",""
"","2833","M-GLB-106 Wishlist links to /MarketStreet/en-US/wishlist","mobile","2026-08-14","passed","2026-08-14","Mobile global header (M-GLB-101–109)","mobile/home.spec.ts","",""
"","2925","M-HOME-202 ""Shop all"" link targets /category/root","mobile","2026-08-14","passed","2026-08-14","Mobile featured products (M-HOME-201–208)","mobile/home.spec.ts","",""
"","3120","GLB-105b Kids flyout lists 6 subcategories with correct href pattern","desktop","2026-08-14","passed","2026-08-14","Global header – GLB-101–110","desktop/home.spec.ts","",""
"","8574","CARD-113 Quick Add control is present in card markup (not visible by default)","desktop","2026-08-14","failed","2026-08-14","Shared Product Card on PLP (CARD-101–116)","desktop/plp.spec.ts","",""
"","1804","HOME-110 position announcement exposes ""Slide N of 4"" to AT","desktop","2026-08-14","passed","2026-08-14","Home – Hero carousel (HOME-101–111)","desktop/home.spec.ts","",""
"","7820","M-CARD-109a ""Free delivery on orders over $50"" shown on every card","mobile","2026-08-14","failed","2026-08-14","Mobile product card (M-CARD-101–115)","mobile/plp.spec.ts","",""
"","2877","PLP-108 default sort is ""Most Popular""","desktop","2026-08-14","failed","2026-08-14","PLP sort control (PLP-106–108)","desktop/plp.spec.ts","",""
"","5301","M-HOME-111 previous and next controls have accessible labels including position","mobile","2026-08-14","passed","2026-08-14","Mobile hero carousel (M-HOME-101–111)","mobile/home.spec.ts","",""
"","1949","PLP-103 result summary reads ""{n} products available""; Women returns 36","desktop","2026-08-14","passed","2026-08-14","PLP page structure (PLP-101–105)","desktop/plp.spec.ts","",""
"","1717","PLP-105 result count heading shows ""Women (36)""","desktop","2026-08-14","passed","2026-08-14","PLP page structure (PLP-101–105)","desktop/plp.spec.ts","",""
